user_id,first_name,last_name,email,phone,postal_code,registration_date,country,loyalty_tier,lifetime_value
USR-000099,Nathan,Austin,mitchellsexton@example.com,(376)422-3683,62106,2023-04-22,US,silver,47.08
USR-000100,Rebecca,Martinez,chloelawson@example.com,478-602-2801x77106,48061,2025-12-10,UK,gold,45.09
USR-000101,Andrew,Curry,joseph35@example.net,441.543.9103,96964,2025-02-07,UK,silver,46.52
USR-000102,Margaret,Reynolds,kburch@example.net,3663747720,87253,2025-12-19,UK,platinum,72.42
USR-000103,Kenneth,Arnold,john78@example.org,(401)787-7795x3342,28254,2024-07-23,US,gold,54.34
USR-000104,Shelley,Anderson,david77@example.com,001-427-374-5750x21885,13582,2026-04-13,CA,gold,53.79
USR-000105,Julian,Parker,pereznicholas@example.net,296.687.8842,61072,2023-04-05,CA,gold,63.8
USR-000106,Hailey,Holt,miguelshaw@example.net,277-406-9392x8532,42081,2023-02-26,DE,platinum,58.21
USR-000107,Christopher,Barnes,svargas@example.com,001-777-681-8986x3613,84021,2023-03-30,UK,bronze,84.84
USR-000108,Kristen,Taylor,wilsonann@example.net,823.450.1947x377,53064,2024-12-22,DE,silver,60.03
USR-000109,William,Casey,wware@example.com,001-399-277-9178x22008,04453,2022-02-01,DE,gold,37.55
USR-000110,Jonathan,Wagner,mcontreras@example.org,(825)915-7595x1490,13366,2024-10-06,FR,platinum,148.78
USR-000111,Kristen,Ritter,beckalan@example.net,858-772-4227x496,92745,2024-11-24,FR,platinum,60.67
USR-000112,Christine,Cabrera,melissadodson@example.com,571-697-2512,27458,2025-05-25,FR,gold,42.85
USR-000113,Jimmy,Hall,rford@example.com,+1-377-273-4265x87503,39764,2025-02-23,CA,bronze,76.44
USR-000114,Brittany,Greene,aaron71@example.net,+1-928-606-1990x74666,62703,2022-05-11,US,platinum,56.36
USR-000115,Megan,Rangel,stevenskaren@example.org,735-466-8303x2536,48002,2023-03-26,DE,gold,36.74
USR-000116,Sean,Fitzgerald,uburns@example.net,6789107283,51095,2022-12-10,CA,gold,221.77
USR-000117,Jessica,Curry,whitenicholas@example.com,+1-693-663-1962x756,29725,2024-07-02,CA,bronze,27.2
USR-000118,Kathleen,Aguilar,sotomary@example.com,(630)206-3621x0516,58871,2024-02-26,UK,gold,27.15
USR-000119,Molly,Hanna,pittsmary@example.net,713-453-7396,63773,2026-03-19,CA,bronze,33.73
USR-000120,Olivia,Cannon,beverly86@example.com,470.855.4899x071,80321,2025-06-06,US,bronze,53.88
USR-000121,Sarah,Nguyen,terrieverett@example.org,5299331326,34818,2023-09-15,FR,bronze,59.73
USR-000122,Eric,Wright,charles77@example.org,001-329-918-4251x956,57613,2024-12-07,US,platinum,32.1
USR-000123,Rebecca,Rogers,ericschwartz@example.com,(485)487-0630,72189,2025-06-29,FR,gold,54.87
USR-000124,Jennifer,Franklin,laurakelly@example.org,+1-878-697-1535,63995,2026-04-27,CA,bronze,57.99
USR-000125,Robert,Beck,radams@example.net,(250)272-8310x185,71259,2024-01-02,DE,bronze,196.33
USR-000126,Richard,Collins,karen58@example.org,+1-605-680-1088x6797,65977,2023-10-12,US,gold,23.35
USR-000127,Brianna,Griffin,ybennett@example.net,565-933-3477x4963,76150,2026-01-27,UK,bronze,96.88
USR-000128,Dylan,Mcguire,kgillespie@example.net,591-950-2374,32597,2023-01-16,US,bronze,76.61
USR-000129,Lawrence,Morris,dariusroberts@example.com,+1-304-672-6097x9629,47084,2026-05-08,FR,platinum,54.29
USR-000130,Tommy,Young,kgray@example.net,001-559-919-8174x73665,85113,2024-03-30,FR,platinum,17.52
USR-000131,Michael,Cole,william95@example.net,(371)831-9844x496,32372,2025-10-28,FR,bronze,103.24
USR-000132,Luke,Morgan,tim74@example.org,321.323.8487x756,72365,2025-05-20,DE,bronze,70.78
USR-000133,Marissa,Harrison,trevor83@example.org,001-929-500-0590x5451,50280,2023-03-19,FR,platinum,110.2
USR-000134,Michael,Johnson,armstrongjoshua@example.org,562-571-2393x3065,49241,2025-12-27,UK,bronze,86.63
USR-000135,James,Reeves,ledwards@example.net,+1-809-262-8219,69359,2024-01-20,FR,gold,236.42
USR-000136,Tracy,Soto,jgordon@example.org,001-873-876-3097x73983,54491,2021-09-26,FR,gold,67.71
USR-000137,Victor,Hudson,ugordon@example.com,8044450729,80428,2026-01-28,DE,gold,22.01
USR-000138,Jessica,Arellano,parksandre@example.com,+1-832-526-5278x254,02558,2023-04-07,US,bronze,51.89
USR-000139,Kevin,Miller,ronald11@example.com,953.298.7245x819,66826,2024-12-16,FR,platinum,56.54
USR-000140,Kevin,Simpson,kathy80@example.com,765.297.2683,59934,2025-04-22,CA,platinum,64.17
USR-000141,Terri,Bailey,melissaortiz@example.com,221.428.1568x387,63874,2025-12-05,CA,platinum,19.59
USR-000142,Abigail,Cook,jcarroll@example.org,949-524-1371,00831,2025-12-15,DE,bronze,64.47
USR-000143,Ronald,Lee,pooleallison@example.net,306.884.8368,58571,2022-05-30,FR,platinum,358.28
USR-000144,Amanda,Coleman,zwilliams@example.com,955.495.7354x1057,46873,2026-06-28,FR,platinum,25.7
USR-000145,Kelly,White,johnsonamber@example.com,287-423-5784x57208,38266,2026-04-23,US,silver,47.42
USR-000146,Allen,Mitchell,brian74@example.net,316.760.8161,83759,2023-06-09,US,platinum,205.71
USR-000147,Patrick,Kim,deborahsmith@example.com,450.400.4584x089,82577,2023-12-28,US,bronze,27.43
USR-000148,Richard,Snow,mcintoshpatrick@example.net,893-656-5803x6383,64364,2022-04-20,US,gold,124.15
USR-000149,Fred,Cox,washingtonalexandria@example.org,851.542.4496,88475,2024-08-21,FR,bronze,79.0
USR-000150,Kaylee,Blair,michael98@example.org,388-967-2514x096,07176,2024-06-04,CA,silver,45.81
USR-000151,Wayne,West,jimenezalexander@example.net,316.468.8130x38469,72527,2022-01-30,DE,platinum,91.77
USR-000152,Brian,James,jose66@example.org,(973)812-5361x276,23073,2025-06-15,UK,platinum,235.52
USR-000153,Evan,Avila,sarah94@example.com,550-380-9897x173,99911,2023-04-15,UK,bronze,39.88
USR-000154,Tyler,Cantu,englishgerald@example.org,847-616-5044x152,37716,2026-06-12,CA,gold,44.45
USR-000155,Evelyn,Mason,carolmoody@example.net,+1-945-841-9137x804,18200,2021-09-15,CA,platinum,15.34
USR-000156,Jaime,Kelley,seanwheeler@example.com,001-624-227-6074x1464,22830,2023-10-12,US,silver,57.24
USR-000157,David,Bell,eric55@example.com,683-326-2138,90669,2023-05-27,CA,gold,333.87
USR-000158,Charles,Smith,joshua25@example.org,950.456.8808x4820,62211,2021-12-17,US,silver,64.65
USR-000159,Peter,Harris,schwartzjack@example.net,978.513.2672,32461,2022-05-17,UK,bronze,123.47
USR-000160,Robert,Cole,bgonzales@example.net,688-619-4687x74929,80074,2024-08-27,US,gold,27.74
USR-000161,Kristin,Harris,freed@example.org,001-566-484-9053x6678,04662,2022-07-23,FR,platinum,91.28
USR-000162,Randy,Winters,nancywebb@example.net,5535403883,13845,2024-11-15,CA,silver,113.23
USR-000163,Laura,Ortega,huntdaniel@example.com,780-523-6280x193,09933,2022-02-25,FR,bronze,21.52
USR-000164,Joshua,Mcclure,annastephens@example.org,(873)441-5910x660,31392,2025-03-07,US,gold,163.72
USR-000165,Michael,Roberts,sampsonrobert@example.net,(324)478-9225,56371,2026-05-30,CA,platinum,57.1
USR-000166,Cory,Conner,matthewmoses@example.org,908-240-1579,52232,2022-04-13,DE,bronze,37.76
USR-000167,Christina,Mills,elliottcheryl@example.net,(326)886-6508x368,73528,2026-04-03,UK,gold,14.55
USR-000168,Emily,Martin,bobby37@example.org,2874143903,03930,2026-03-03,US,platinum,139.58
USR-000169,Matthew,Tyler,ythompson@example.org,402.347.4857x9888,30783,2022-06-11,US,silver,28.4
USR-000170,Jeremy,Wilson,sheila29@example.org,(629)572-5401,72678,2025-01-08,FR,platinum,55.46
USR-000171,Megan,Phillips,kelly18@example.net,(845)594-7800x7924,52901,2023-08-29,UK,silver,65.45
USR-000172,Carmen,Mills,xkirby@example.net,+1-950-245-8387x5007,81381,2024-07-04,DE,bronze,37.24
USR-000173,Jessica,Wilson,codykoch@example.org,001-659-280-4333x15696,15643,2021-11-05,UK,gold,43.74
USR-000174,Larry,Johnson,vanessasellers@example.com,(306)822-6093,97919,2022-12-25,CA,bronze,36.88
USR-000175,Kathleen,Ross,jerrygray@example.com,9823310171,79414,2025-07-28,US,platinum,50.03
USR-000176,Kenneth,Marshall,brandon19@example.net,+1-795-408-1900x5673,55183,2026-08-04,UK,platinum,62.54
USR-000177,Michael,Wood,pmarsh@example.com,(941)330-2286,07621,2023-08-03,CA,platinum,71.57
USR-000178,Mark,Henderson,kennethjackson@example.org,(977)774-1490x571,25620,2022-05-11,US,platinum,67.2
USR-000179,Jennifer,Shields,rbenson@example.com,(361)858-7898,96012,2024-05-15,DE,gold,55.01
USR-000180,John,Woods,stewartsusan@example.org,742-641-2484,55088,2023-10-20,DE,silver,44.04
USR-000181,Charles,Chambers,scottleblanc@example.com,001-741-990-6695x450,97530,2025-09-03,CA,gold,12.24
USR-000182,James,Smith,bankslaura@example.com,(517)306-1301x1273,87620,2026-05-13,FR,platinum,20.04
USR-000183,Crystal,Santos,pmartin@example.com,496.856.4001x9154,95239,2021-11-20,UK,bronze,47.53
USR-000184,Patricia,Kim,melissajones@example.com,834-424-1147x546,36513,2026-02-24,CA,bronze,24.92
USR-000185,Allison,Martinez,newmanpatricia@example.com,(711)368-4603,82802,2025-02-09,CA,silver,52.67
USR-000186,Christina,Young,jmyers@example.org,001-874-264-5331x64950,42913,2024-10-30,CA,gold,20.13
USR-000187,Keith,Davis,thomaskidd@example.net,234-963-1078,70693,2023-09-29,DE,platinum,47.1
USR-000188,Mary,Curry,dadkins@example.org,+1-983-604-1544,65815,2022-10-21,FR,silver,21.65
USR-000189,Joseph,Walker,wwright@example.net,601.268.5253x1750,74361,2022-09-03,FR,platinum,72.19
USR-000190,Andrew,Barr,holmeschristine@example.net,001-774-709-5290,04762,2024-08-06,US,gold,82.37
USR-000191,Timothy,Duncan,schmidtsergio@example.org,(368)706-3992x4161,35812,2021-10-11,DE,silver,10.67
USR-000192,Hannah,Cummings,fthompson@example.net,+1-990-788-0683x1121,79494,2022-04-19,UK,silver,30.94
USR-000193,Angela,Osborne,jasonsosa@example.org,967-372-5038x56162,34737,2022-01-22,US,silver,49.7
USR-000194,Joshua,Thompson,mlopez@example.com,+1-273-974-2142x0942,78347,2022-10-17,US,gold,71.5
USR-000195,Timothy,Rodriguez,tjones@example.net,925-905-9253x0955,80165,2025-08-09,UK,bronze,22.17
USR-000196,Jasmin,Walker,emily27@example.org,495.372.3816x129,31873,2023-03-16,UK,platinum,40.78
USR-000197,Curtis,Beasley,allenjared@example.org,6756350246,93754,2025-04-05,FR,platinum,54.57
USR-000198,Dale,Clark,howardchase@example.org,+1-573-385-7094,33079,2024-01-02,UK,silver,49.08
USR-000199,Tracey,Proctor,nbenjamin@example.com,+1-221-531-6822x608,59008,2021-12-09,US,silver,160.93
USR-000200,Daniel,Hall,tkirby@example.com,001-398-383-8037x473,29773,2025-07-26,CA,silver,42.28
USR-000201,Sean,Lambert,randall45@example.com,507-670-0535x5882,72822,2025-03-21,CA,platinum,83.99
USR-000202,Elizabeth,Maxwell,contreraslisa@example.net,+1-738-950-2847x7982,97012,2023-05-16,CA,silver,86.31
USR-000203,Steven,Gay,gcarrillo@example.com,230.870.6667,28440,2025-06-06,FR,bronze,41.34
USR-000204,Jesse,Garcia,higginsheidi@example.org,001-355-530-9373,34007,2025-01-10,FR,platinum,63.76
USR-000205,Jerry,Vasquez,kaufmanalan@example.org,493.206.1892x0045,62998,2022-04-27,UK,silver,107.15
USR-000206,Colin,White,shane42@example.com,(284)773-2550x65299,94414,2026-01-22,CA,bronze,24.32
USR-000207,Patrick,Herman,hweber@example.org,2725095789,41628,2025-01-29,DE,bronze,12.23
USR-000208,Jacqueline,Smith,carrollkaren@example.com,+1-944-656-5781,39091,2026-08-01,US,platinum,33.63
USR-000209,Arthur,Edwards,housecynthia@example.org,(756)574-0920x167,05145,2026-03-24,US,silver,91.3
USR-000210,Andrew,Walker,michelle14@example.org,(680)667-0914x465,01229,2026-06-26,CA,platinum,25.37
USR-000211,Alexander,Preston,johnsonjennifer@example.com,(749)876-8348x752,02981,2023-01-05,DE,silver,32.21
USR-000212,Paula,Carpenter,michelefoster@example.org,376-401-3807x95118,88003,2026-01-24,FR,silver,44.25
USR-000213,Laura,Cruz,erinwatson@example.net,+1-915-695-9043x15071,09827,2024-10-05,DE,platinum,79.45
USR-000214,Gabriela,Castillo,ugates@example.net,(431)703-2319x7670,40778,2026-06-03,UK,gold,86.63
USR-000215,Cory,Hicks,joshua96@example.com,(389)524-4183x281,58688,2024-10-06,FR,gold,11.89
USR-000216,Joseph,Reese,katrina92@example.net,659.814.4894x009,45033,2025-11-09,FR,silver,7.98
USR-000217,Michelle,Scott,yyoung@example.net,(948)887-8073,87805,2024-10-17,DE,silver,58.51
USR-000218,Linda,Barnes,melissa73@example.com,405.934.2519x18716,40689,2023-10-23,FR,bronze,103.51
USR-000219,Lindsay,Reynolds,smolina@example.net,491-793-5264,76111,2024-11-21,US,gold,48.19
USR-000220,Cheryl,Wilson,fhancock@example.org,256.675.9105x63967,36869,2025-07-12,DE,platinum,44.4
USR-000221,Tim,Olson,nelsonmichael@example.com,202.750.1554x494,60570,2025-08-30,CA,platinum,191.29
USR-000222,David,Price,tracydodson@example.com,001-484-255-5766x3354,93376,2026-02-15,UK,gold,12.85
USR-000223,Matthew,Key,stephanie07@example.org,672.482.7695x8870,96888,2026-01-04,FR,gold,55.66
USR-000224,Toni,Montoya,youngsara@example.net,+1-602-576-4482,91198,2023-05-28,UK,bronze,42.58
USR-000225,Brian,Olson,bpham@example.com,377.878.4247,38240,2024-06-03,UK,platinum,79.04
USR-000226,Calvin,Rodriguez,shirleypatterson@example.com,8723592501,46203,2023-09-27,CA,bronze,22.87
USR-000227,Thomas,Brown,jaredmendoza@example.org,5819334902,39776,2022-10-05,US,silver,30.02
USR-000228,Marie,Reynolds,katherineramirez@example.com,380-316-9599,85024,2025-01-27,CA,silver,24.57
USR-000229,Ashley,Turner,benjamin11@example.net,(787)391-4659,11263,2024-11-13,US,silver,112.03
USR-000230,Anthony,Lopez,annabullock@example.org,(596)966-9423x943,47326,2026-01-02,US,bronze,107.16
USR-000231,Erica,Mcclure,olivia88@example.com,(937)473-4850x3027,90125,2025-07-26,UK,gold,21.36
USR-000232,Wendy,Johnston,moralesmichael@example.com,(932)467-9924x483,52218,2026-05-17,US,silver,202.14
USR-000233,Jennifer,Farmer,plawrence@example.net,689.949.1286x72877,71066,2023-07-09,FR,gold,79.88
USR-000234,Christina,Williams,ramosjanet@example.org,+1-269-465-2415x731,02893,2023-01-11,CA,silver,30.99
USR-000235,Joseph,Bush,stevenscurtis@example.org,(794)933-7026,69852,2026-03-21,CA,platinum,266.8
USR-000236,Kelly,Foster,louis19@example.org,(531)310-1584x567,29192,2023-12-27,CA,bronze,80.05
USR-000237,Heather,Ramsey,benitezheather@example.com,001-231-475-6073,14087,2025-02-17,CA,bronze,33.52
USR-000238,Isabel,Cuevas,nlewis@example.org,+1-470-410-1492x621,95655,2024-12-27,CA,bronze,47.99
USR-000239,Jose,Mcgrath,hjones@example.com,649-966-0251x43580,11440,2021-12-03,FR,platinum,5.47
USR-000240,Angela,Castaneda,fryematthew@example.org,631-919-5960x27693,64036,2024-08-20,FR,silver,24.81
USR-000241,Robert,Boone,roberta56@example.org,875-304-2246x40694,96040,2025-05-27,CA,bronze,52.34
USR-000242,Matthew,Scott,rodgerserik@example.com,214-388-1605,74887,2024-02-06,UK,gold,35.06
USR-000243,Kristi,Rivera,kwilliams@example.com,686.450.4441x4429,98637,2023-08-16,UK,bronze,154.8
USR-000244,Krystal,Smith,gravesmelanie@example.org,413-678-6268x49704,08728,2023-08-28,UK,bronze,64.2
USR-000245,Anna,Wagner,edward07@example.com,+1-981-470-0681x43659,88541,2026-04-06,DE,bronze,77.34
USR-000246,Caitlin,Santos,vmyers@example.org,+1-905-741-7150x07601,99823,2026-05-30,UK,silver,80.97
USR-000247,Jennifer,Herrera,smithshane@example.com,+1-342-884-5576,63834,2024-01-06,DE,gold,52.02
USR-000248,Brandon,Patterson,haileymunoz@example.org,(483)349-1430,47998,2022-05-24,FR,platinum,35.62
USR-000249,Stephanie,Mcgee,mnichols@example.com,640.989.1205x994,82820,2025-12-29,CA,bronze,155.94
USR-000250,Peter,Navarro,davisemily@example.org,962-208-3610x88025,09658,2025-11-07,DE,silver,7.08
USR-000251,Nancy,Jackson,mossraymond@example.org,903.855.9591x516,99234,2021-12-26,FR,gold,39.24
USR-000252,Janet,Hernandez,wliu@example.net,(436)402-5368x7320,43260,2025-12-20,US,silver,30.68
USR-000253,Michael,Trujillo,hughesjoseph@example.net,287.238.7183x410,57781,2023-07-20,UK,silver,129.2
